SMILES,logPapp,priority
COC(=O)N[C@H](C(=O)NN(Cc1ccc(Br)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,1.623249,1
COc1ccc(-c2nnc(C(=O)N3CC(Oc4ccc(CN5CCC(C)(O)C5)cc4)C3)o2)cc1,1.623249,1
O=C1CCCN1Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1F,1.623249,1
Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,1.623249,1
CS(=O)(=O)NC[C@@H]1CCC[C@@]2(S(=O)(=O)c3ccc(C(F)(F)F)cc3)c3c(F)ccc(F)c3OC[C@@H]12,1.624282,1
Cl.O=c1c2c3n(c(=O)cc2[nH]n1-c1ccccc1Cl)CCCN(Cc1ccccc1)C3,1.625312,1
c1coc(-c2nc3[nH]ccc3cc2-c2ccncn2)c1,1.60206,1
CC(C)Oc1cccc(-c2ccnc(N3CCC(C(N)=O)CC3)n2)c1,1.603144,1
N#Cc1cc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)cc(-c2ncccc2C#N)c1,1.604226,1
c1ccc(Cn2nnnc2C(c2ccc3occc3c2)N2CCCN(C3CCC3)CC2)cc1,1.612784,1
CC(C)NC[C@@H](O)COc1cccc2ccccc12.Cl,1.612784,1
CC(=O)Nc1cn2cc(-c3cnc(N)c(OC(C)C(F)(F)F)n3)ccc2n1,1.612784,1
Cc1c(F)cc(C(=O)NC2CC2)cc1-c1c(F)cn2c(C(C)(C)C)nnc2c1F,1.612784,1
Cc1nc(NC(=O)C(C)(C)CC(F)(F)F)sc1-c1ccc(N)nc1,1.612784,1
Cc1nc(-n2cnn(Cc3ccc(F)cc3)c2=O)sc1C(=O)NCc1cn(C)cn1,1.612784,1
CCCC1(C(=O)c2ccc3[nH]ccc3c2)CCCN1,1.612784,1
CN(C(=O)c1ccncc1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,1.612784,1
CN(C[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F)S(=O)(=O)C(F)(F)F,1.612784,1
COc1ccc(-c2nnc(C(=O)N3CC(Oc4ccc(CN5CC6(CCCO6)C5)cc4)C3)o2)cc1,1.612784,1
N#Cc1ccnc(OC[C@@H]2CCCN2C(=O)C[C@H](N)Cc2cc(F)c(F)cc2F)c1,1.612784,1
CNC(=O)c1ccc2[nH]nc(Cc3ccc(-c4cnn(C)c4)cc3)c2c1,1.614897,1
Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1-c1ccc(OCC(C)(C)C(=O)O)cn1,1.61595,1
c1coc(-c2nc3[nH]ncc3cc2-c2ccncn2)c1,1.591065,1
N#CC1(c2cccnc2)CCN(Cc2cc(C(=O)O)c(=O)n3ccccc23)CC1,1.591065,1
O=C1CSCCN1c1ccc(CO[C@@H]2COc3nc([N+](=O)[O-])cn3C2)cc1,1.597256,1
O=C(CO)Nc1ccc2ncn(Cc3ccc(Cl)c(Cl)c3)c(=O)c2c1,1.598791,1
COCCCn1c(CN(C)Cc2ccccc2)c2c(=O)n(-c3ccc(F)cc3Cl)[nH]c2cc1=O,1.600973,1
CC(C)C[C@H](OC(=O)C(C)(C)C)C(=O)NC1(C(=O)N[C@@H](CCc2ccccc2)c2nc(C3CC3)no2)CCCC1,1.60206,1
Cc1ccncc1-c1cccc2c1ncn2CC(F)(F)F,1.60206,1
Cc1nc(-n2cnn(CCOc3ccc(F)cc3)c2=O)sc1C(=O)NCc1cccnc1,1.60206,1
CCCCC(=O)O[C@@H](C(=O)N1N=CC[C@H]1C(=O)NCc1cc(Cl)ccc1-n1cnnn1)c1ccc(F)cc1,1.60206,1
CCc1c2nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)cnc3OCC(C)C)[nH]c(=O)c2nn1CCOC,1.60206,1
CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccc(C)cc3)CC2)nc1C,1.60206,1
CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccc(C(C)C)cc3)CC2)nc1C,1.60206,1
CCOC(=O)c1cc(C#N)c(N2CCC(C(=O)NS(=O)(=O)Cc3ccc(OC)cc3)CC2)nc1C,1.60206,1
COc1ccc(CCN2C(=O)N(NS(C)(=O)=O)C[C@H]2c2ccc(OC)cc2)cc1,1.60206,1
O=S1(=O)CCCN1Cc1ccc(-n2nc(C(F)(F)F)c3c2CCCC3)cc1,1.60206,1
O=c1[nH]c2cc(-c3ccncn3)c(-c3ccco3)nc2[nH]1,1.60206,1
COc1ncnc(Cn2cc(C(=O)NCC3CC3)c3ncccc32)c1C,1.579784,1
O=C1CC(=O)CC(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,1.579784,1
COc1ccc2c(OC3CC4C(=O)NC5(C(=O)NS(=O)(=O)C6CC6)CC5C=CCCCCCNC(=O)N4C3)nc(-c3ccccc3)nc2c1C,1.579784,1
C=C(F)COc1ccc(Cl)cc1[C@H]1C[C@@H]1CN.Cl,1.583199,1
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,1.583765,1
CN1CCN(c2cc3c(-c4cccc(N5CCNCC5)n4)n[nH]c3cn2)CC1=O,1.585461,1
CCN(C(=O)c1ccc(C#N)cc1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,1.587711,1
CC(C)CNC(=O)[C@H]1C[C@@](F)(c2ccc(CN3CCCC3)c(F)c2)C1,1.588832,1
CC(Nc1cccc(F)c1)c1cc(C(=O)N(C)C)cn2c(=O)cc(N3CCOCC3)nc12,1.591065,1
Cc1cc(OC(F)(F)F)ccc1-c1c(Oc2ccc(/C=C/C(=O)O)cc2)c2ccccc2oc1=O,1.591065,1
Cc1nc(-n2cnn(Cc3ccc(C(F)(F)F)o3)c2=O)sc1C(=O)NCc1cccnc1,1.591065,1
